,address,categories,city,country,latitude,longitude,menus max amount,menus min amount,menus name,postal code,postalCode,province
146,378 Broad St,"American Restaurants,Bars,Pizza,Italian Restaurants,Mediterranean Restaurants,Night Clubs,Taverns,Bar & Grills,Family Style Restaurants,Restaurants,Northern Nj,Pub",Bloomfield,US,40.806263,-74.192924,5.0,5.0,Personal Pizza,Town Pub,7003,Grove
147,378 Broad St,"American Restaurants,Bars,Pizza,Italian Restaurants,Mediterranean Restaurants,Night Clubs,Taverns,Bar & Grills,Family Style Restaurants,Restaurants,Northern Nj,Pub",Bloomfield,US,40.806263,-74.192924,15.0,15.0,Vodka Sauce Pizza,Town Pub,7003,Grove
148,28985 Golden Lantern,"Restaurant,Restaurants,Bagels,Bakeries,Bagel Shop",Laguna Niguel,US,33.54206,-117.69095,2.95,2.95,Pizza Bagel,I Love Bagels,92677,CA
149,4138 Ogletown Stanton Rd,"Chinese Restaurants,Cocktail Lounges,Take Out Restaurants,Fast Food Restaurants,Seafood Restaurants,Bar and Grills,Asian Restaurants,Restaurants,Chinese Restaurant",Newark,US,39.68517,-75.68316,2.5,2.5,Chinese Pizza,Ming Garden Cocktails Chinese Restaurant,19713,DE
150,6007 Us 60 E,Italian Restaurant,Barboursville,US,38.413007,-82.30775799999999,6.99,6.99,Personal Pizza,Tascali's Decades Pasta & Grill,25504,WV
151,6007 Us 60 E,Italian Restaurant,Barboursville,US,38.413007,-82.30775799999999,5.99,5.99,Pizza Bread,Tascali's Decades Pasta & Grill,25504,WV
153,1602 E Forsyth St,"Restaurant,Restaurants,Mexican Restaurant",Americus,US,32.071243,-84.208984,3.75,3.75,Mexican Pizza,La Hacienda,31709,GA
154,148 W River St,"Caf and Coffee Shop,Coffee & Espresso Restaurants,Coffee Shops,Pizza,Caterers,Bagels,Restaurants",Providence,US,41.843920000000004,-71.413666,4.95,4.95,Pizza Combo,West River Cafe,2904,No Providence
155,14 Scott Adam Rd,"Pizza Place,Mediterranean Restaurant,Take Out Restaurants,Caterers,Restaurants,Pizza",Cockeysville,US,39.47173,-76.63863,16.95,13.95,Bbq Chicken Pizza,Original Giorgio's,21030,MD
157,14 Scott Adam Rd,"Pizza Place,Mediterranean Restaurant,Take Out Restaurants,Caterers,Restaurants,Pizza",Cockeysville,US,39.47173,-76.63863,16.95,13.95,Buffalo Chicken Pizza,Original Giorgio's,21030,MD
158,14 Scott Adam Rd,"Pizza Place,Mediterranean Restaurant,Take Out Restaurants,Caterers,Restaurants,Pizza",Cockeysville,US,39.47173,-76.63863,17.95,14.95,Californian Pizza,Original Giorgio's,21030,MD
159,14 Scott Adam Rd,"Pizza Place,Mediterranean Restaurant,Take Out Restaurants,Caterers,Restaurants,Pizza",Cockeysville,US,39.47173,-76.63863,16.95,13.95,Cheese Steak Pizza,Original Giorgio's,21030,MD
